0.000000    -3.900000     3.900000
0.001000    -3.893682     3.906249
0.002000    -3.887296     3.912428
0.003000    -3.880842     3.918539
0.004000    -3.874319     3.924579
0.005000    -3.867729     3.930550
0.006000    -3.861071     3.936451
0.007000    -3.854346     3.942282
0.008000    -3.847553     3.948042
0.009000    -3.840694     3.953731
0.010000    -3.833769     3.959350
0.011000    -3.826777     3.964897
0.012000    -3.819719     3.970373
0.013000    -3.812596     3.975777
0.014000    -3.805407     3.981110
0.015000    -3.798153     3.986370
0.016000    -3.790835     3.991558
0.017000    -3.783452     3.996674
0.018000    -3.776004     4.001717
0.019000    -3.768493     4.006687
0.020000    -3.760918     4.011584
0.021000    -3.753279     4.016408
0.022000    -3.745578     4.021158
0.023000    -3.737814     4.025835
0.024000    -3.729987     4.030438
0.025000    -3.722098     4.034967
0.026000    -3.714148     4.039422
0.027000    -3.706136     4.043802
0.028000    -3.698062     4.048108
0.029000    -3.689928     4.052340
0.030000    -3.681733     4.056496
0.031000    -3.673478     4.060577
0.032000    -3.665163     4.064583
0.033000    -3.656789     4.068514
0.034000    -3.648355     4.072369
0.035000    -3.639862     4.076149
0.036000    -3.631311     4.079853
0.037000    -3.622702     4.083481
0.038000    -3.614034     4.087032
0.039000    -3.605309     4.090508
0.040000    -3.596527     4.093907
0.041000    -3.587688     4.097229
0.042000    -3.578792     4.100475
0.043000    -3.569840     4.103644
0.044000    -3.560832     4.106736
0.045000    -3.551769     4.109751
0.046000    -3.542651     4.112689
0.047000    -3.533478     4.115550
0.048000    -3.524250     4.118333
0.049000    -3.514968     4.121039
0.050000    -3.505633     4.123667
0.051000    -3.496244     4.126217
0.052000    -3.486803     4.128690
0.053000    -3.477309     4.131085
0.054000    -3.467762     4.133401
0.055000    -3.458164     4.135640
0.056000    -3.448514     4.137800
0.057000    -3.438813     4.139882
0.058000    -3.429062     4.141886
0.059000    -3.419260     4.143811
0.060000    -3.409408     4.145657
0.061000    -3.399507     4.147425
0.062000    -3.389556     4.149115
0.063000    -3.379557     4.150725
0.064000    -3.369509     4.152257
0.065000    -3.359414     4.153710
0.066000    -3.349271     4.155083
0.067000    -3.339080     4.156378
0.068000    -3.328843     4.157594
0.069000    -3.318559     4.158731
0.070000    -3.308229     4.159788
0.071000    -3.297854     4.160766
0.072000    -3.287434     4.161665
0.073000    -3.276969     4.162485
0.074000    -3.266459     4.163225
0.075000    -3.255905     4.163886
0.076000    -3.245308     4.164468
0.077000    -3.234668     4.164970
0.078000    -3.223985     4.165393
0.079000    -3.213260     4.165736
0.080000    -3.202493     4.166000
0.081000    -3.191684     4.166184
0.082000    -3.180834     4.166289
0.083000    -3.169944     4.166314
0.084000    -3.159014     4.166260
0.085000    -3.148043     4.166126
0.086000    -3.137034     4.165913
0.087000    -3.125985     4.165620
0.088000    -3.114899     4.165248
0.089000    -3.103774     4.164796
0.090000    -3.092611     4.164265
0.091000    -3.081411     4.163654
0.092000    -3.070175     4.162964
0.093000    -3.058902     4.162194
0.094000    -3.047593     4.161345
0.095000    -3.036249     4.160416
0.096000    -3.024870     4.159408
0.097000    -3.013457     4.158321
0.098000    -3.002009     4.157155
0.099000    -2.990528     4.155909
0.100000    -2.979014     4.154584
0.101000    -2.967467     4.153180
0.102000    -2.955887     4.151697
0.103000    -2.944276     4.150135
0.104000    -2.932633     4.148494
0.105000    -2.920960     4.146774
0.106000    -2.909255     4.144975
0.107000    -2.897521     4.143097
0.108000    -2.885758     4.141140
0.109000    -2.873965     4.139105
0.110000    -2.862144     4.136991
0.111000    -2.850294     4.134799
0.112000    -2.838417     4.132529
0.113000    -2.826512     4.130179
0.114000    -2.814581     4.127752
0.115000    -2.802623     4.125247
0.116000    -2.790639     4.122663
0.117000    -2.778630     4.120001
0.118000    -2.766596     4.117262
0.119000    -2.754538     4.114445
0.120000    -2.742456     4.111550
0.121000    -2.730350     4.108577
0.122000    -2.718221     4.105527
0.123000    -2.706069     4.102400
0.124000    -2.693895     4.099195
0.125000    -2.681700     4.095914
0.126000    -2.669484     4.092555
0.127000    -2.657246     4.089119
0.128000    -2.644989     4.085607
0.129000    -2.632712     4.082018
0.130000    -2.620415     4.078352
0.131000    -2.608100     4.074611
0.132000    -2.595766     4.070793
0.133000    -2.583415     4.066899
0.134000    -2.571046     4.062929
0.135000    -2.558661     4.058883
0.136000    -2.546259     4.054761
0.137000    -2.533841     4.050565
0.138000    -2.521407     4.046292
0.139000    -2.508959     4.041945
0.140000    -2.496496     4.037523
0.141000    -2.484019     4.033025
0.142000    -2.471529     4.028454
0.143000    -2.459026     4.023807
0.144000    -2.446510     4.019087
0.145000    -2.433982     4.014292
0.146000    -2.421442     4.009423
0.147000    -2.408892     4.004481
0.148000    -2.396331     3.999465
0.149000    -2.383759     3.994375
0.150000    -2.371178     3.989212
0.151000    -2.358588     3.983977
0.152000    -2.345990     3.978668
0.153000    -2.333383     3.973287
0.154000    -2.320768     3.967833
0.155000    -2.308146     3.962307
0.156000    -2.295518     3.956709
0.157000    -2.282883     3.951040
0.158000    -2.270242     3.945299
0.159000    -2.257597     3.939486
0.160000    -2.244946     3.933602
0.161000    -2.232291     3.927647
0.162000    -2.219633     3.921622
0.163000    -2.206971     3.915526
0.164000    -2.194306     3.909360
0.165000    -2.181639     3.903123
0.166000    -2.168970     3.896817
0.167000    -2.156300     3.890442
0.168000    -2.143629     3.883997
0.169000    -2.130958     3.877483
0.170000    -2.118286     3.870900
0.171000    -2.105616     3.864248
0.172000    -2.092946     3.857528
0.173000    -2.080278     3.850741
0.174000    -2.067612     3.843885
