0.030806    -3.194500    -3.023861    -0.892901    -0.297906    -0.117041    -0.041397     0.041397     0.117041     0.297906     0.892901     3.023861     3.194500
0.031596    -3.193903    -3.023265    -0.894938    -0.302203    -0.121345    -0.043441     0.043441     0.121345     0.302203     0.894938     3.023265     3.193903
0.032385    -3.193291    -3.022653    -0.897016    -0.306519    -0.125667    -0.045526     0.045526     0.125667     0.306519     0.897016     3.022653     3.193291
0.033175    -3.192665    -3.022027    -0.899136    -0.310851    -0.130006    -0.047653     0.047653     0.130006     0.310851     0.899136     3.022027     3.192665
0.033965    -3.192023    -3.021385    -0.901296    -0.315199    -0.134361    -0.049820     0.049820     0.134361     0.315199     0.901296     3.021385     3.192023
0.034755    -3.191366    -3.020729    -0.903496    -0.319561    -0.138731    -0.052028     0.052028     0.138731     0.319561     0.903496     3.020729     3.191366
0.035545    -3.190695    -3.020058    -0.905735    -0.323938    -0.143115    -0.054275     0.054275     0.143115     0.323938     0.905735     3.020058     3.190695
0.036335    -3.190008    -3.019371    -0.908012    -0.328327    -0.147512    -0.056560     0.056560     0.147512     0.328327     0.908012     3.019371     3.190008
0.037125    -3.189307    -3.018670    -0.910328    -0.332729    -0.151922    -0.058884     0.058884     0.151922     0.332729     0.910328     3.018670     3.189307
0.037915    -3.188590    -3.017954    -0.912681    -0.337142    -0.156343    -0.061246     0.061246     0.156343     0.337142     0.912681     3.017954     3.188590
0.038705    -3.187859    -3.017223    -0.915071    -0.341565    -0.160774    -0.063644     0.063644     0.160774     0.341565     0.915071     3.017223     3.187859
0.039494    -3.187113    -3.016477    -0.917497    -0.345999    -0.165216    -0.066079     0.066079     0.165216     0.345999     0.917497     3.016477     3.187113
0.040284    -3.186351    -3.015716    -0.919959    -0.350441    -0.169667    -0.068550     0.068550     0.169667     0.350441     0.919959     3.015716     3.186351
0.041074    -3.185575    -3.014941    -0.922456    -0.354893    -0.174127    -0.071056     0.071056     0.174127     0.354893     0.922456     3.014941     3.185575
0.041864    -3.184784    -3.014150    -0.924987    -0.359352    -0.178595    -0.073597     0.073597     0.178595     0.359352     0.924987     3.014150     3.184784
0.042654    -3.183979    -3.013345    -0.927553    -0.363819    -0.183071    -0.076171     0.076171     0.183071     0.363819     0.927553     3.013345     3.183979
0.043444    -3.183158    -3.012524    -0.930151    -0.368292    -0.187554    -0.078780     0.078780     0.187554     0.368292     0.930151     3.012524     3.183158
0.044234    -3.182322    -3.011689    -0.932782    -0.372773    -0.192044    -0.081420     0.081420     0.192044     0.372773     0.932782     3.011689     3.182322
0.045024    -3.181472    -3.010839    -0.935445    -0.377259    -0.196540    -0.084094     0.084094     0.196540     0.377259     0.935445     3.010839     3.181472
0.045814    -3.180607    -3.009975    -0.938140    -0.381751    -0.201042    -0.086799     0.086799     0.201042     0.381751     0.938140     3.009975     3.180607
0.046603    -3.179727    -3.009095    -0.940866    -0.386249    -0.205550    -0.089535     0.089535     0.205550     0.386249     0.940866     3.009095     3.179727
0.047393    -3.178832    -3.008201    -0.943622    -0.390751    -0.210062    -0.092302     0.092302     0.210062     0.390751     0.943622     3.008201     3.178832
0.048183    -3.177922    -3.007292    -0.946408    -0.395258    -0.214579    -0.095099     0.095099     0.214579     0.395258     0.946408     3.007292     3.177922
0.048973    -3.176998    -3.006368    -0.949223    -0.399769    -0.219101    -0.097925     0.097925     0.219101     0.399769     0.949223     3.006368     3.176998
0.049763    -3.176059    -3.005430    -0.952067    -0.404284    -0.223626    -0.100780     0.100780     0.223626     0.404284     0.952067     3.005430     3.176059
0.050553    -3.175105    -3.004476    -0.954939    -0.408802    -0.228156    -0.103664     0.103664     0.228156     0.408802     0.954939     3.004476     3.175105
0.051343    -3.174137    -3.003508    -0.957839    -0.413324    -0.232688    -0.106575     0.106575     0.232688     0.413324     0.957839     3.003508     3.174137
0.052133    -3.173153    -3.002526    -0.960766    -0.417848    -0.237224    -0.109514     0.109514     0.237224     0.417848     0.960766     3.002526     3.173153
